id,match_id,player_id,old_elo,new_elo,elo_delta,expected_score,actual_score,k_factor,created_at
8304,830,262,1000,986,-14,0.4285,0.0,32,2026-05-03 22:29:40.826981
8305,832,268,1000,1015,15,0.5187,1.0,32,2026-05-03 22:29:40.826981
8306,832,261,987,972,-15,0.4813,0.0,32,2026-05-03 22:29:40.826981
8307,833,269,1000,1006,6,0.5000,1.0,32,2026-05-03 22:29:40.826981
8308,833,270,1000,994,-6,0.5000,0.0,32,2026-05-03 22:29:40.826981
8309,834,196,1009,1025,16,0.5129,1.0,32,2026-05-03 22:29:40.826981
8310,834,214,1000,984,-16,0.4871,0.0,32,2026-05-03 22:29:40.826981
8311,835,188,992,1008,16,0.4885,1.0,32,2026-05-03 22:29:40.826981
8312,835,271,1000,984,-16,0.5115,0.0,32,2026-05-03 22:29:40.826981
8313,837,195,1096,1107,11,0.6674,1.0,32,2026-05-03 22:29:40.826981
8314,837,251,975,964,-11,0.3326,0.0,32,2026-05-03 22:29:40.826981
8315,838,259,1000,1015,15,0.5230,1.0,32,2026-05-03 22:29:40.826981
8316,838,271,984,969,-15,0.4770,0.0,32,2026-05-03 22:29:40.826981
8317,839,195,1107,1117,10,0.6973,1.0,32,2026-05-03 22:29:40.826981
8318,839,258,962,952,-10,0.3027,0.0,32,2026-05-03 22:29:40.826981
8319,840,192,1000,1014,14,0.5545,1.0,32,2026-05-03 22:29:40.826981
8320,840,198,962,948,-14,0.4455,0.0,32,2026-05-03 22:29:40.826981
8321,841,258,952,968,16,0.5058,1.0,32,2026-05-03 22:29:40.826981
8322,841,198,948,932,-16,0.4942,0.0,32,2026-05-03 22:29:40.826981
8323,842,273,1000,1015,15,0.5302,1.0,32,2026-05-03 22:29:40.826981
8324,842,240,979,964,-15,0.4698,0.0,32,2026-05-03 22:29:40.826981
8325,843,273,1015,1029,14,0.5729,1.0,32,2026-05-03 22:29:40.826981
8326,843,240,964,950,-14,0.4271,0.0,32,2026-05-03 22:29:40.826981
8327,844,195,1117,1128,11,0.6440,1.0,32,2026-05-03 22:29:40.826981
8328,844,192,1014,1003,-11,0.3560,0.0,32,2026-05-03 22:29:40.826981
8329,845,258,968,973,5,0.5144,1.0,32,2026-05-03 22:29:40.826981
8330,845,228,958,953,-5,0.4856,0.0,32,2026-05-03 22:29:40.826981
8331,846,193,1003,1022,19,0.4131,1.0,32,2026-05-03 22:29:40.826981
8332,846,249,1064,1045,-19,0.5869,0.0,32,2026-05-03 22:29:40.826981
8333,848,195,1128,1136,8,0.6725,1.0,24,2026-05-03 22:29:40.826981
8334,848,192,1003,993,-10,0.3275,0.0,32,2026-05-03 22:29:40.826981
8335,851,192,993,1010,17,0.4541,1.0,32,2026-05-03 22:29:40.826981
8336,851,196,1025,1008,-17,0.5459,0.0,32,2026-05-03 22:29:40.826981
8337,852,249,1045,1060,15,0.5431,1.0,32,2026-05-03 22:29:40.826981
8338,852,259,1015,1000,-15,0.4569,0.0,32,2026-05-03 22:29:40.826981
8339,856,242,981,998,17,0.4612,1.0,32,2026-05-03 22:29:40.826981
8340,856,188,1008,991,-17,0.5388,0.0,32,2026-05-03 22:29:40.826981
8341,857,195,1136,1144,8,0.6763,1.0,24,2026-05-03 22:29:40.826981
8342,857,196,1008,998,-10,0.3237,0.0,32,2026-05-03 22:29:40.826981
8343,862,196,998,1014,16,0.4971,1.0,32,2026-05-03 22:29:40.826981
8344,862,276,1000,984,-16,0.5029,0.0,32,2026-05-03 22:29:40.826981
8345,863,188,991,1006,15,0.5316,1.0,32,2026-05-03 22:29:40.826981
8346,863,271,969,954,-15,0.4684,0.0,32,2026-05-03 22:29:40.826981
8347,864,188,1006,1021,15,0.5259,1.0,32,2026-05-03 22:29:40.826981
8348,864,266,988,973,-15,0.4741,0.0,32,2026-05-03 22:29:40.826981
8349,865,192,1010,1026,16,0.4942,1.0,32,2026-05-03 22:29:40.826981
8350,865,196,1014,998,-16,0.5058,0.0,32,2026-05-03 22:29:40.826981
8351,866,196,998,1013,15,0.5201,1.0,32,2026-05-03 22:29:40.826981
8352,866,276,984,969,-15,0.4799,0.0,32,2026-05-03 22:29:40.826981
8353,867,249,1060,1073,13,0.5855,1.0,32,2026-05-03 22:29:40.826981
8354,867,256,1000,987,-13,0.4145,0.0,32,2026-05-03 22:29:40.826981
8355,868,242,998,1012,14,0.5630,1.0,32,2026-05-03 22:29:40.826981
8356,868,271,954,940,-14,0.4370,0.0,32,2026-05-03 22:29:40.826981
8357,869,196,1013,1026,13,0.5897,1.0,32,2026-05-03 22:29:40.826981
8358,869,240,950,937,-13,0.4103,0.0,32,2026-05-03 22:29:40.826981
8359,870,196,1026,1040,14,0.5771,1.0,32,2026-05-03 22:29:40.826981
8360,870,261,972,958,-14,0.4229,0.0,32,2026-05-03 22:29:40.826981
8361,871,249,1073,1083,10,0.6035,1.0,24,2026-05-03 22:29:40.826981
8362,871,277,1000,987,-13,0.3965,0.0,32,2026-05-03 22:29:40.826981
8363,872,277,987,1005,18,0.4243,1.0,32,2026-05-03 22:29:40.826981
8364,872,196,1040,1022,-18,0.5757,0.0,32,2026-05-03 22:29:40.826981
8365,873,196,1022,1037,15,0.5244,1.0,32,2026-05-03 22:29:40.826981
8366,873,277,1005,990,-15,0.4756,0.0,32,2026-05-03 22:29:40.826981
8367,879,242,1012,1027,15,0.5402,1.0,32,2026-05-03 22:29:40.826981
8368,879,214,984,969,-15,0.4598,0.0,32,2026-05-03 22:29:40.826981
8369,884,192,1026,1045,19,0.4187,1.0,32,2026-05-03 22:29:40.826981
8370,884,249,1083,1069,-14,0.5813,0.0,24,2026-05-03 22:29:40.826981
8371,885,196,1037,1052,15,0.5216,1.0,32,2026-05-03 22:29:40.826981
8372,885,193,1022,1007,-15,0.4784,0.0,32,2026-05-03 22:29:40.826981
8373,886,193,1007,1022,15,0.5244,1.0,32,2026-05-03 22:29:40.826981
8374,886,277,990,975,-15,0.4756,0.0,32,2026-05-03 22:29:40.826981
8375,891,193,1022,1039,17,0.4669,1.0,32,2026-05-03 22:29:40.826981
8376,891,192,1045,1028,-17,0.5331,0.0,32,2026-05-03 22:29:40.826981
8377,892,188,1021,1042,21,0.3494,1.0,32,2026-05-03 22:29:40.826981
8378,892,246,1129,1108,-21,0.6506,0.0,32,2026-05-03 22:29:40.826981
8379,893,242,1027,1042,15,0.5388,1.0,32,2026-05-03 22:29:40.826981
8380,893,279,1000,985,-15,0.4612,0.0,32,2026-05-03 22:29:40.826981
8381,894,192,1028,1045,17,0.4799,1.0,32,2026-05-03 22:29:40.826981
8382,894,188,1042,1025,-17,0.5201,0.0,32,2026-05-03 22:29:40.826981
8383,895,196,1052,1060,8,0.6597,1.0,24,2026-05-03 22:29:40.826981
8384,895,240,937,926,-11,0.3403,0.0,32,2026-05-03 22:29:40.826981
8385,896,246,1108,1122,14,0.5686,1.0,32,2026-05-03 22:29:40.826981
8386,896,196,1060,1050,-10,0.4314,0.0,24,2026-05-03 22:29:40.826981
8387,897,195,1144,1151,7,0.7117,1.0,24,2026-05-03 22:29:40.826981
8388,897,254,987,978,-9,0.2883,0.0,32,2026-05-03 22:29:40.826981
8389,898,249,1069,1084,15,0.3841,1.0,24,2026-05-03 22:29:40.826981
8390,898,195,1151,1136,-15,0.6159,0.0,24,2026-05-03 22:29:40.826981
8391,899,195,1136,1145,9,0.6321,1.0,24,2026-05-03 22:29:40.826981
8392,899,242,1042,1030,-12,0.3679,0.0,32,2026-05-03 22:29:40.826981
8393,900,246,1122,1134,12,0.6361,1.0,32,2026-05-03 22:29:40.826981
8394,900,188,1025,1013,-12,0.3639,0.0,32,2026-05-03 22:29:40.826981
8395,901,192,1045,1065,20,0.3746,1.0,32,2026-05-03 22:29:40.826981
8396,901,246,1134,1114,-20,0.6254,0.0,32,2026-05-03 22:29:40.826981
8397,902,249,1084,1092,8,0.6558,1.0,24,2026-05-03 22:29:40.826981
8398,902,226,972,961,-11,0.3442,0.0,32,2026-05-03 22:29:40.826981
8399,903,249,1092,1105,13,0.4684,1.0,24,2026-05-03 22:29:40.826981
8400,903,246,1114,1097,-17,0.5316,0.0,32,2026-05-03 22:29:40.826981
8401,904,242,1030,1046,16,0.4871,1.0,32,2026-05-03 22:29:40.826981
8402,904,193,1039,1023,-16,0.5129,0.0,32,2026-05-03 22:29:40.826981
8403,905,188,1013,1033,20,0.3706,1.0,32,2026-05-03 22:29:40.826981
8404,905,249,1105,1090,-15,0.6294,0.0,24,2026-05-03 22:29:40.826981
8405,907,242,1046,1066,20,0.3613,1.0,32,2026-05-03 22:29:40.826981
8406,907,195,1145,1130,-15,0.6387,0.0,24,2026-05-03 22:29:40.826981
8407,908,192,1065,1077,12,0.6347,1.0,32,2026-05-03 22:29:40.826981
8408,908,214,969,957,-12,0.3653,0.0,32,2026-05-03 22:29:40.826981
8409,909,193,1023,1035,12,0.6280,1.0,32,2026-05-03 22:29:40.826981
8410,909,198,932,920,-12,0.3720,0.0,32,2026-05-03 22:29:40.826981
8411,910,193,1035,1048,13,0.6049,1.0,32,2026-05-04 18:38:11.303201
8412,910,226,961,948,-13,0.3951,0.0,32,2026-05-04 18:38:11.303201
