id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
800,188,262,188,2026-04-11 18:46:00,2026-04-11 22:46:07.45446,"[[match_meta:{""player1_score"":6,""player2_score"":7}]]",Терран,Протосс,f,2к,Gather the Resources,win,,,1
801,258,263,258,2026-04-11 20:47:12.170185,2026-04-12 00:47:13.014814,"[[match_meta:{""player1_score"":19,""player2_score"":16}]]",Терран,Зерг,t,2к,Hold Position,win,,,1
802,196,249,196,2026-04-11 22:05:51.483498,2026-04-12 02:05:52.749378,"[[match_meta:{""player1_score"":23,""player2_score"":12}]]",Протосс,Зерг,f,2к,Divide and Conquer,win,,,1
803,196,264,196,2026-04-12 08:00:44.928929,2026-04-12 12:00:46.218996,"[[match_meta:{""player1_score"":17,""player2_score"":9}]]",Протосс,Протосс,f,2к,Supply Drop,win,,,1
804,195,254,195,2026-04-12 10:20:47.765455,2026-04-12 14:20:49.162027,"[[match_meta:{""player1_score"":23,""player2_score"":14}]]",Терран,Протосс,t,2к,Hold Position,win,"","",1
811,195,266,195,2026-04-12 15:40:24.082563,2026-04-12 19:40:24.9282,"[[match_meta:{""player1_score"":14,""player2_score"":3}]]",Терран,Зерг,t,2к,Hold Position,win,,,1
815,258,198,258,2026-04-12 17:45:25.417399,2026-04-12 21:45:26.30585,"[[match_meta:{""player1_score"":20,""player2_score"":19}]]",Терран,Протосс,t,1к,Hold Position,win,,,1
817,208,209,,2026-04-13 00:16:27.989192,2026-04-12 22:16:30.364657,"[[match_meta:{""player1_score"":4,""player2_score"":4,""player1_roster_id"":""VL8RWD"",""player2_roster_id"":""WCT0ZR""}]] Showmatch",Терран,Протосс,f,2к,Frontlines,draw,VL8RWD,WCT0ZR,1
819,249,196,249,2026-04-12 21:50:30.27155,2026-04-13 01:50:32.270031,"[[match_meta:{""player1_score"":21,""player2_score"":12,""player2_roster_id"":""QE0KL3""}]]",Зерг,Зерг,t,2к,Hold Position,win,,QE0KL3,1
820,195,251,195,2026-04-13 02:31:48.973227,2026-04-13 06:31:49.998445,"[[match_meta:{""player1_score"":23,""player2_score"":10}]]",Зерг,Терран,t,2к,Hold Position,win,,,1
821,267,188,267,2026-04-13 08:52:18.097449,2026-04-13 12:52:19.181707,"[[match_meta:{""player1_score"":17,""player2_score"":12}]]",Протосс,Терран,f,1к,Hold Position,win,,,1
822,196,262,196,2026-04-13 11:42:33.564802,2026-04-13 15:42:34.626033,"[[match_meta:{""player1_score"":21,""player2_score"":11}]]",Протосс,Терран,f,2к,Hold Position,win,,,1
823,261,247,261,2026-04-13 16:00:51.254722,2026-04-13 20:00:52.693923,"[[match_meta:{""player1_score"":21,""player2_score"":15}]] Forfeit at the the of 3 round. (Replace statistics)",Протосс,Зерг,f,2к,Frontlines,win,,,1
824,196,193,196,2026-04-13 16:47:52.190063,2026-04-13 20:47:53.461568,"[[match_meta:{""player1_score"":15,""player2_score"":14,""player1_roster_id"":""FETBZ9"",""player2_roster_id"":""VOZLV5""}]] Very close game.",Зерг,Протосс,t,2к,Supply Drop,win,FETBZ9,VOZLV5,1
